month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,14Y,4,601.06307,11299.26,53.19490568408905,0.3540054835449401
2019-05-01,14Y,2,554.90467,11314.52,49.04358912264948,0.17676401650268858
2019-06-01,14Y,5,527.98459,11324.740000000002,46.62222620563474,0.44151123999314773
2019-07-01,14Y,3,99.65272999999999,11337.700000000003,8.789501397990772,0.26460393201442967
2019-08-01,14Y,4,607.4820599999999,11357.579999999998,53.48692767297259,0.35218770195763544
2019-09-01,14Y,1,27.72155,11365.48,2.439100680305627,0.0879857251959442
2019-10-01,14Y,5,521.24415,11360.26,45.88311799201779,0.4401307716548741
