month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,00X,4,277.31152,6172.166666666667,44.92936354062592,0.6480706396997272
2019-05-01,00X,4,255.19916,6173.066666666667,41.34074258067303,0.6479761544775153
2019-06-01,00X,2,194.1687,6179.433333333333,31.421764670978458,0.32365427250610895
2019-07-01,00X,3,212.95548,6185.033333333333,34.43077321059979,0.48504184833280345
2019-08-01,00X,3,244.12985,6192.8,39.421562136674844,0.48443353571889936
2019-09-01,00X,3,212.70801,6201.5666666666675,34.29907657742398,0.4837487301595833
2019-10-01,00X,4,233.32588999999996,6202.133333333333,37.62026345773497,0.6449393756986844
