month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,09A,3,328.50016,6811.142857142857,48.229815009018836,0.4404547170602794
2019-05-01,09A,1,35.59855,6816.314285714285,5.222551148295477,0.1467068503715875
2019-06-01,09A,2,443.59975,6829.228571428572,64.95605548420026,0.29285884621981983
2019-07-01,09A,7,308.49872,6824.885714285714,45.20203457096089,1.0256582004512897
2019-08-01,09A,3,453.41668000000004,6825.77142857143,66.42717013670877,0.43951076173493725
2019-09-01,09A,1,221.59882000000002,6830.942857142857,32.44044411355053,0.14639267534705522
2019-10-01,09A,1,109.80474,6905.628571428571,15.900759628791418,0.14480941012921136
