month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,01H,9,720.4007899999999,8132.6500000000015,88.58130990513546,1.1066503538207102
2019-05-01,01H,13,682.68779,8135.9000000000015,83.91054339409283,1.5978564141643823
2019-06-01,01H,4,261.96327,8137.525000000001,32.19200801226417,0.4915499491553021
2019-07-01,01H,9,1506.9244399999998,8142.300000000001,185.07355906807655,1.1053387863380124
2019-08-01,01H,7,1051.4968099999999,8147.3499999999985,129.0599777841875,0.859175069194278
2019-09-01,01H,7,1227.74172,8155.124999999999,150.54848576815195,0.8583559418157295
2019-10-01,01H,6,350.17017999999996,8153.899999999998,42.94511583414073,0.7358441972553014
