month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,04F,2,90.71070999999999,11049.814814814814,8.20925160468585,0.1809985084382175
2019-05-01,04F,5,316.22033,11059.74074074074,28.592020139779578,0.45209016352268655
2019-06-01,04F,3,214.82149,11074.85185185185,19.397233739436363,0.270883984736858
2019-07-01,04F,1,100.40569,11089.370370370372,9.054228206524098,0.09017644524452845
2019-08-01,04F,1,100.28335,11118.148148148148,9.019788966987575,0.08994303607715114
2019-09-01,04F,2,107.16286,11136.074074074077,9.623037642097417,0.1795965065153621
2019-10-01,04F,1,99.35497,11140.037037037036,8.918728875826599,0.08976630837719138
