month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,06K,14,1511.0492199999999,10767.107142857143,140.33938735367968,1.3002564026018395
2019-05-01,06K,11,567.65104,10773.446428571426,52.68982806602875,1.0210288855038765
2019-06-01,06K,11,1154.5878500000001,10776.607142857143,107.13834462874281,1.020729423851265
2019-07-01,06K,20,2250.0996600000003,10784.232142857143,208.64718323875633,1.8545594841675264
2019-08-01,06K,14,1206.004,10801.892857142857,111.64746919356065,1.296069141321131
2019-09-01,06K,13,1677.0005299999998,10805.839285714286,155.19391744212368,1.2030532433687473
2019-10-01,06K,13,1653.5822500000002,10820.035714285712,152.82595119503836,1.2014747772815646
