month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,03N,19,1802.44479,7602.437500000002,237.08774850171406,2.4991984478662266
2019-05-01,03N,27,2342.8583599999997,7601.149999999999,308.2241976543023,3.552094091025701
2019-06-01,03N,23,1387.94774,7695.18987341772,180.36562616791687,2.9888801158047116
2019-07-01,03N,17,1350.7222300000003,7686.240506329115,175.7324961257417,2.211744478461429
2019-08-01,03N,28,2112.11618,7676.164556962024,275.15254061149346,3.647654996479321
2019-09-01,03N,29,1540.63598,7668.658227848101,200.90033148241073,3.7816263469258398
2019-10-01,03N,24,2185.69847,7802.455696202532,280.12955857779275,3.075954665360143
