month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,10R,1,100.35370999999999,13680.647058823528,7.335450550584553,0.07309595779353402
2019-05-01,10R,2,234.04644,13676.470588235294,17.113073032258065,0.14623655913978495
2019-06-01,10R,6,386.82176,13664.64705882353,28.308214499416696,0.4390892771815634
2019-07-01,10R,4,229.75193000000002,14492.5625,15.853092232653818,0.2760036397979998
2019-08-01,10R,4,394.47346999999996,14439.6875,27.31869855216742,0.27701430519185405
2019-09-01,10R,4,279.62312,14411.4375,19.402861095570792,0.27755732209226175
2019-10-01,10R,10,875.8139199999999,14519.25,60.32087883327306,0.6887408096148216
