month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,03T,6,234.07407,9689.884615384615,24.156538420319368,0.6192024196525321
2019-05-01,03T,8,390.30021999999997,9691.923076923078,40.27066835985554,0.8254295805389101
2019-06-01,03T,6,176.91332,9700.923076923076,18.236751141842173,0.6184978431870085
2019-07-01,03T,7,337.98768,9711.115384615385,34.80420802490406,0.7208234814189924
2019-08-01,03T,6,705.8590099999999,9721.423076923078,72.60860929667624,0.6171935890994117
2019-09-01,03T,7,387.89704000000006,9725.423076923078,39.88484993731734,0.7197630318633557
2019-10-01,03T,6,243.00057,9721.884615384613,24.995212308471377,0.6171642883423206
