month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,07H,6,752.47722,9926.656249999998,75.8036947234876,0.6044331393060982
2019-05-01,07H,3,385.56927999999994,9936.1875,38.80454953169915,0.3019266695601306
2019-06-01,07H,6,631.96412,9949.34375,63.51817123616821,0.6030548497231287
2019-07-01,07H,11,897.1034900000001,9963.5,90.03899131831184,1.1040297084357906
2019-08-01,07H,9,1244.43582,9983.03125,124.6551061332198,0.901529783351124
2019-09-01,07H,10,1718.29761,9999.5,171.8383529176459,1.000050002500125
2019-10-01,07H,4,216.82196,10004.000000000002,21.67352658936425,0.3998400639744102
