month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,06F,8,771.6743199999999,10142.541666666664,76.0829331898234,0.7887569272987953
2019-05-01,06F,14,1662.52896,10151.895833333336,163.76536829122637,1.3790527631333225
2019-06-01,06F,5,264.12774,10165.083333333332,25.983824366089806,0.4918798829325879
2019-07-01,06F,13,1051.79331,10180.145833333334,103.3180985046465,1.2769954588895458
2019-08-01,06F,9,789.5596,10411.063829787236,75.83851303850241,0.8644649717975965
2019-09-01,06F,13,915.7952700000001,10429.531914893618,87.80789756175182,1.2464605416697268
2019-10-01,06F,9,1013.64493,10444.255319148935,97.05286772734682,0.8617177314211214
