month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,10D,4,31.13683,6385.277777777777,4.876346978727107,0.6264410318875886
2019-05-01,10D,7,690.24633,6396.944444444444,107.90250501541534,1.0942724390985281
2019-06-01,10D,4,505.33507000000003,6403.888888888889,78.91065550446778,0.6246204563199445
2019-07-01,10D,4,121.0514,6413.61111111111,18.87414093291178,0.6236736108103427
2019-08-01,10D,5,127.77748,6790.352941176471,18.81750199244603,0.7363387504764545
2019-09-01,10D,3,114.03676999999999,6797.941176470588,16.775192229481245,0.4413100852334184
2019-10-01,10D,9,529.8546500000001,7224.8125,73.33818697717071,1.2457070685225395
