month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,05F,2,35.46326,9392.65,3.775639462771422,0.2129324525027548
2019-05-01,05F,5,569.70039,9392.35,60.65578795509111,0.5323481343859631
2019-06-01,05F,1,100.37993,9396.0,10.68326202639421,0.10642826734780758
2019-07-01,05F,4,255.19107,9402.65,27.14033490558513,0.42541198491914517
2019-09-01,05F,2,109.19623999999999,9427.4,11.582858476356153,0.21214756984958738
2019-10-01,05F,3,811.3100200000001,9421.75,86.11033194470242,0.31841218457292964
