month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,04E,4,167.47803,7248.518518518519,23.105139287721624,0.5518369015379899
2019-05-01,04E,7,826.4627399999999,7253.814814814814,113.93491026433091,0.9650094713892564
2019-06-01,04E,4,532.6560099999999,7265.0370370370365,73.31772808377006,0.5505821896857603
2019-07-01,04E,2,155.88849,7268.037037037037,21.448499671315805,0.2751774639848754
2019-08-01,04E,2,155.69857,7278.592592592593,21.391301686325193,0.2747783963118633
2019-09-01,04E,5,350.39426,7284.851851851852,48.09902344286215,0.6863557559827344
2019-10-01,04E,3,158.68497,7282.37037037037,21.7902910631459,0.4119537798030759
