month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,13T,16,886.07992,8561.532258064515,103.49548343584866,1.868824355001272
2019-05-01,13T,23,1325.7356399999999,8696.491803278688,152.44487892234667,2.644744630395524
2019-06-01,13T,26,1625.85289,8693.524590163934,187.01884064830617,2.990731748710648
2019-07-01,13T,22,1337.69198,8680.901639344263,154.0959724664092,2.53429896040866
2019-08-01,13T,18,1149.32008,8675.262295081968,132.48245884756162,2.074865218796238
2019-09-01,13T,15,930.42735,8666.229508196722,107.36241742963075,1.7308565375302662
2019-10-01,13T,20,1417.63367,8733.491803278688,162.32152063940774,2.2900347822496028
