month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,07T,4,151.66498,7705.238095238096,19.683360608120633,0.5191273716086767
2019-05-01,07T,7,1076.46442,7714.642857142857,139.5352241099949,0.9073653997500115
2019-06-01,07T,5,437.7901,7725.619047619048,56.66731653496714,0.6471973273832271
2019-07-01,07T,4,426.72812,7730.571428571428,55.20007465720516,0.5174261743726208
2019-08-01,07T,2,98.16751,7745.190476190475,12.674641159798094,0.25822476621436347
2019-09-01,07T,3,107.45167,7950.853658536586,13.51448216942497,0.37731797475343953
2019-10-01,07T,7,278.1896099999999,7964.1463414634145,34.93024839984074,0.8789391480109024
