month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,01E,6,1391.7257000000002,8785.458333333334,158.4124182479571,0.6829467254127322
2019-05-01,01E,3,898.66885,8780.625,102.34679763684248,0.3416613282084134
2019-06-01,01E,3,2038.0791699999997,9166.869565217392,222.3309882943302,0.32726548345174966
2019-07-01,01E,3,1393.6053399999998,9167.869565217392,152.00972593319767,0.32722978644699585
2019-08-01,01E,3,2748.16259,9154.652173913044,300.1930098263178,0.3277022373988991
2019-09-01,01E,1,16.72516,9161.565217391306,1.8255788834260327,0.10915165435942215
2019-10-01,01E,5,1187.6655700000001,9234.347826086956,128.61390889401574,0.5414567540844673
