month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,05R,3,608.68868,8854.393939393938,68.74425106521332,0.3388148325604477
2019-05-01,05R,4,652.31872,8864.818181818184,73.58512116333205,0.4512218883636027
2019-06-01,05R,6,582.11179,8868.454545454546,65.63847026744436,0.6765553083964614
2019-07-01,05R,4,348.43291,8883.212121212122,39.223752089402545,0.4502875700163058
2019-08-01,05R,6,808.28901,8902.666666666666,90.79178635614797,0.6739553691777744
2019-09-01,05R,6,635.97816,8918.060606060606,71.3135050425422,0.6727920189197271
2019-10-01,05R,2,192.28828000000001,8923.151515151516,21.549368479678332,0.22413605737883066
