month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,01J,11,1343.1398399999998,6658.2,201.72716950527166,1.6520981646691297
2019-05-01,01J,7,907.3385499999999,6664.12,136.15279286687516,1.0504012532787523
2019-06-01,01J,5,781.86932,6668.040000000001,117.25624321389792,0.7498455318204449
2019-07-01,01J,14,2077.38089,6675.64,311.18827408308414,2.097177199489487
2019-08-01,01J,13,1426.73906,6680.64,213.5632304689371,1.9459213488528044
2019-09-01,01J,7,441.36433,6686.799999999999,66.00531345337082,1.0468385475862896
2019-10-01,01J,11,1667.2562899999998,6691.36,249.16553436072786,1.6439109538270247
