month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,00M,8,515.6646499999999,8055.108108108108,64.01709860118977,0.9931586134700491
2019-05-01,00M,9,1363.86749,8058.189189189189,169.25235409336815,1.1168762346848764
2019-06-01,00M,11,800.8551399999999,8059.62162162162,99.36634467448677,1.3648283401407084
2019-07-01,00M,5,1145.91507,8063.1081081081065,142.11828176378904,0.6201082675515781
2019-08-01,00M,8,8400.207190000001,8066.540540540542,1041.3642809804933,0.9917510436839528
2019-09-01,00M,10,16275.248440000001,8071.45945945946,2016.3947451815538,1.2389333119031354
2019-10-01,00M,5,260.91185,8080.432432432433,32.28934245558172,0.6187787648506903
