month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,08H,2,107.00908,8074.687499999999,13.252411316227409,0.24768760400944312
2019-05-01,08H,3,107.02565999999999,8082.406250000001,13.241806547400408,0.37117659112965273
2019-06-01,08H,3,110.47643000000001,8105.468750000001,13.629863171084336,0.3701204819277108
2019-07-01,08H,2,17.83531,8119.375000000001,2.1966358248017857,0.2463243784158263
2019-08-01,08H,5,135.32975,8133.71875,16.638115253247477,0.614724968207193
2019-09-01,08H,3,15.141539999999999,8152.71875,1.8572381145860084,0.367975406976967
2019-10-01,08H,2,108.17942,8191.25,13.206704715397528,0.2441629787883412
