month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,07X,1,100.35370999999999,7330.765957446808,13.689389428407237,0.13641139354396803
2019-05-01,07X,3,314.20197,7343.425531914894,42.7868395525307,0.4085286882752266
2019-06-01,07X,4,253.72631,7357.808510638298,34.483951251673574,0.5436401333653348
2019-07-01,07X,3,381.15987,7371.702127659574,51.7058154818599,0.40696164170058013
2019-08-01,07X,7,297.40255,7384.063829787236,40.276270202362184,0.9479874715819863
2019-09-01,07X,4,408.0173,7392.765957446808,55.19142663903759,0.5410694756230934
2019-10-01,07X,4,311.52534,7400.723404255319,42.093903931185565,0.5404877039047361
