month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,01C,3,114.31479999999999,8741.041666666664,13.077937888790906,0.3432085230116549
2019-05-01,01C,3,211.52746000000002,8747.458333333334,24.181591033585946,0.34295676363134053
2019-06-01,01C,3,18.14672,8755.458333333334,2.072617938333706,0.3426433986417996
2019-07-01,01C,2,308.17643,9556.954545454546,32.24630069487712,0.20927168696760567
2019-08-01,01C,5,740.3411300000001,9574.181818181818,77.32683001633181,0.5222378366060237
2019-09-01,01C,2,192.47221,9588.045454545454,20.074186226219204,0.20859308703546559
2019-10-01,01C,8,1083.6174700000001,9588.090909090908,113.01702083076546,0.8343683926082547
