month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,04V,8,531.9453400000001,8302.4375,64.07098397308022,0.9635724448392415
2019-05-01,04V,7,491.33412000000004,8306.020833333332,59.15397154172803,0.8427621529563144
2019-06-01,04V,5,305.78025,8310.145833333334,36.79601491149123,0.6016741583455966
2019-07-01,04V,7,436.42888999999997,8314.041666666666,52.492988067375975,0.8419491121947309
2019-08-01,04V,6,333.93024,8313.229166666668,40.16853539163231,0.7217412006465598
2019-09-01,04V,9,370.28775999999993,8310.458333333334,44.55683972504524,1.0829727602268227
2019-10-01,04V,6,389.5832500000001,8321.520833333332,46.81635217921405,0.721022048754109
