month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,10L,7,591.41882,9050.125,65.34924324249666,0.7734699796964131
2019-05-01,10L,4,263.62395,9051.625,29.124488696780965,0.44190960186706807
2019-06-01,10L,3,251.15604,9052.25,27.745150653152532,0.331409318125328
2019-07-01,10L,3,175.92545,9055.75,19.426933164011817,0.33128123015763467
2019-08-01,10L,6,419.6184,9060.5,46.31294078693229,0.662215109541416
2019-09-01,10L,5,390.21706,9066.5625,43.03914079895219,0.5514769241374556
2019-10-01,10L,6,389.46612,9061.75,42.97912875548321,0.6621237619665076
