month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,08X,2,323.71844,9790.190476190477,33.065591602867784,0.20428611729914295
2019-05-01,08X,7,492.37517999999994,9810.97619047619,50.18615583615046,0.7134865954312589
2019-06-01,08X,2,520.95089,9828.999999999998,53.00141316512362,0.2034794994404314
2019-07-01,08X,2,41.855340000000005,9835.380952380952,4.255589102511342,0.20334748696397362
2019-08-01,08X,3,288.31618,9856.0,29.25285917207792,0.30438311688311687
2019-09-01,08X,6,206.41911000000002,9861.952380952382,20.93085649031149,0.6083988005852216
2019-10-01,08X,2,198.43398,9872.92857142857,20.098796275529768,0.20257413851730202
