month,pct,total_items,total_cost,list_size,cost_per_1000,items_per_1000
2019-04-01,08A,1,100.35370999999999,8604.142857142857,11.663417456706902,0.11622308190406615
2019-05-01,08A,3,1179.6712599999998,8619.82857142857,136.8555360729746,0.3480347637009686
2019-06-01,08A,4,482.42181000000005,8637.085714285715,55.85469751701963,0.4631191737953939
2019-07-01,08A,3,399.60024,8650.2,46.19549143372407,0.34681279045571195
2019-08-01,08A,1,5.100219999999999,8664.028571428571,0.5886661104534017,0.11541974864876452
2019-10-01,08A,1,247.00745,8690.685714285715,28.422089823587815,0.11506571896348798
